bjd_code,altitude_m,altitude_source
1217011200,26,region_point
1217011300,26,region_point
1217011400,36,emd_point
1217011500,26,region_point
1217011600,26,region_point
1217011700,26,region_point
1217011800,26,region_point
1217011900,26,region_point
1217012000,26,region_point
1217012100,26,region_point
1217012200,26,region_point
1217012300,22,emd_point
1217012400,26,region_point
1217012500,26,region_point
1217012600,26,region_point
1217012700,26,region_point
1217012800,12,emd_point
1217012900,26,region_point
1217013000,26,region_point
1217013100,26,region_point
1217013200,26,region_point
1217013300,26,region_point
1217013400,34,emd_point
1217025000,20,emd_point
1217025021,20,emd_point
1217025022,20,emd_point
1217025023,20,emd_point
1217025024,20,emd_point
1217025025,20,emd_point
1217025026,20,emd_point
1217025027,20,emd_point
1217025028,20,emd_point
1217025029,20,emd_point
1217025030,20,emd_point
1217025031,20,emd_point
1217025032,20,emd_point
1217025033,20,emd_point
1217025034,20,emd_point
1217025035,20,emd_point
1217025036,20,emd_point
1217031000,66,emd_point
1217031021,66,emd_point
1217031022,66,emd_point
1217031023,66,emd_point
1217031024,66,emd_point
1217031025,66,emd_point
1217031026,66,emd_point
1217031027,66,emd_point
1217031028,66,emd_point
1217031029,66,emd_point
1217032000,12,emd_point
1217032021,12,emd_point
1217032022,12,emd_point
1217032023,12,emd_point
1217032024,12,emd_point
1217032025,12,emd_point
1217032026,12,emd_point
1217032027,12,emd_point
1217032028,12,emd_point
1217032029,12,emd_point
1217032030,12,emd_point
1217032031,12,emd_point
1217032032,12,emd_point
1217033000,14,emd_point
1217033021,14,emd_point
1217033022,14,emd_point
1217033024,14,emd_point
1217033025,14,emd_point
1217033026,14,emd_point
1217033027,14,emd_point
1217033028,14,emd_point
1217034000,19,emd_point
1217034021,19,emd_point
1217034022,19,emd_point
1217034023,19,emd_point
1217034024,19,emd_point
1217034025,19,emd_point
1217034026,19,emd_point
1217034027,19,emd_point
1217034028,19,emd_point
1217034029,19,emd_point
1217034030,19,emd_point
1217035000,9,emd_point
1217035021,9,emd_point
1217035022,9,emd_point
1217035023,9,emd_point
1217035024,9,emd_point
1217035025,9,emd_point
1217035026,9,emd_point
1217035027,9,emd_point
1217035028,9,emd_point
1217035029,9,emd_point
1217035030,9,emd_point
1217035031,9,emd_point
1217036000,17,emd_point
1217036021,17,emd_point
1217036022,17,emd_point
1217036023,17,emd_point
1217036025,17,emd_point
1217036026,17,emd_point
1217036027,17,emd_point
1217036028,17,emd_point
1217036029,17,emd_point
1217036030,17,emd_point
1217036031,17,emd_point
1217036032,17,emd_point
1217036033,17,emd_point
1217036034,17,emd_point
1217036035,17,emd_point
1217036036,17,emd_point
1217037000,56,emd_point
1217037021,56,emd_point
1217037022,56,emd_point
1217037023,56,emd_point
1217037024,56,emd_point
1217037025,56,emd_point
1217037026,56,emd_point
1217037027,56,emd_point
1217037028,56,emd_point
1217037029,56,emd_point
1217037030,56,emd_point
1217037031,56,emd_point
1217037032,56,emd_point
1217038000,20,emd_point
1217038021,20,emd_point
1217038022,20,emd_point
1217038023,20,emd_point
1217038024,20,emd_point
1217038025,20,emd_point
1217038026,20,emd_point
1217038027,20,emd_point
1217038028,20,emd_point
1217038029,20,emd_point
1217038030,20,emd_point
1217038031,20,emd_point
1217038032,20,emd_point
1217038033,20,emd_point
1217039000,12,emd_point
1217039021,12,emd_point
1217039022,12,emd_point
1217039023,12,emd_point
1217039024,12,emd_point
1217039025,12,emd_point
1217039026,12,emd_point
1217039027,12,emd_point
1217039028,12,emd_point
1217039029,12,emd_point
1217039030,12,emd_point
1217039031,12,emd_point
1217040000,14,emd_point
1217040021,14,emd_point
1217040022,14,emd_point
1217040023,14,emd_point
1217040024,14,emd_point
1217040025,14,emd_point
1217040026,14,emd_point
1217040027,14,emd_point
1217040028,14,emd_point
1217040029,14,emd_point
1217042000,107,emd_point
1217042021,107,emd_point
1217042022,107,emd_point
1217042023,107,emd_point
1217042024,107,emd_point
1217042025,107,emd_point
1217042026,107,emd_point
1217042027,107,emd_point
1217042028,107,emd_point
1217042029,107,emd_point
1217042030,107,emd_point
1217042031,107,emd_point
1217043000,28,emd_point
1217043021,28,emd_point
1217043022,28,emd_point
1217043023,28,emd_point
1217043024,28,emd_point
1217043025,28,emd_point
1217043026,28,emd_point
1217043027,28,emd_point
