point_code,name,lat,lon,altitude,nx,ny,region_id,distance_km,network
654,자월도,37.25404,126.30761,10,48,120,79,35.4,kma_aws
655,소청도,37.76024,124.72912,83,21,131,,150.1,kma_aws
656,볼음도,37.6873,126.19342,49,46,129,87,25.5,kma_aws
657,대천항,36.32435,126.50213,31,52,100,164,10.0,kma_aws
658,만리포,36.7683,126.12143,10,45,109,176,15.0,kma_aws
659,계룡산,36.343,127.2057,831,64,100,168,7.1,kma_aws
660,면온,37.56197,128.37762,533,84,127,234,20.0,kma_aws
661,현내,38.54251,128.40191,5,84,148,240,15.8,kma_aws
662,승봉도,37.17064,126.29695,10,48,118,,42.4,kma_aws
663,목덕도,36.92863,125.78691,62,39,113,,49.2,kma_aws
664,영흥도,37.22468,126.45838,17,51,119,81,28.3,kma_aws
665,무의도,37.39043,126.42521,28,50,123,79,18.0,kma_aws
666,안도,36.95872,126.16832,32,46,113,176,22.4,kma_aws
667,옹도,36.6476,126.0093,58,43,107,176,26.9,kma_aws
669,외연도,36.2292,126.07583,17,44,98,,51.0,kma_aws
670,양양,38.08874,128.62954,7,88,139,241,5.0,kma_aws
671,속초조양,38.1922,128.57608,4,87,141,229,0.0,kma_aws
672,상하,35.44236,126.48836,16,52,80,48,15.0,kma_aws
673,진영,35.28223,128.7175,20,91,78,200,7.1,kma_aws
674,사북,37.21963,128.82141,822,92,120,228,15.8,kma_aws
675,남이섬,37.78978,127.52769,52,69,132,145,5.0,kma_aws
676,위성센터,36.9906,127.42985,143,68,114,157,15.0,kma_aws
677,달방댐,37.51728,129.0213,120,95,127,227,10.0,kma_aws
678,강릉성산,37.72484,128.77862,456,91,131,226,5.0,kma_aws
679,강릉왕산,37.61045,128.77297,686,91,128,226,15.8,kma_aws
680,평화,38.21277,127.84468,230,74,141,237,14.1,kma_aws
681,간동,38.0512,127.79064,200,74,137,237,14.1,kma_aws
682,임남,38.28317,127.86251,1062,75,143,238,22.4,kma_aws
687,석곡,35.1262,127.2528,62,65,74,37,15.8,kma_aws
688,봉산,35.26878,126.93914,31,60,77,36,7.1,kma_aws
689,광주남구,35.10082,126.89853,73,59,73,33,0.0,kma_aws
690,풍산,35.33624,127.13921,98,63,78,254,5.0,kma_aws
691,정산,36.38617,126.95652,23,60,101,171,11.2,kma_aws
692,백학,38.0404,126.9245,33,59,137,144,11.2,kma_aws
694,원효봉,36.70435,126.60936,677,54,108,174,11.2,kma_aws
695,광덕산,38.11619,127.43197,1050,67,139,236,10.0,kma_aws
696,신기,37.34661,129.08614,82,96,123,230,14.1,kma_aws
697,서거차도,34.25058,125.91829,5,42,54,51,39.1,kma_aws
698,해제,35.09385,126.28509,25,48,73,47,20.6,kma_aws
699,무안,34.98378,126.46108,37,51,70,46,7.1,kma_aws
