region_code,region_name,scenario,crop_code,api_ec_value,ec_value_on_band_scale,score,penalized,measured,method_warning
5177035000,강원특별자치도 정선군 임계면,raw_1_to_5,03001,0.381,0.381,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4146100000,경기도 용인시 처인구,raw_1_to_5,03001,1.7932234905356657,1.7932234905356657,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4824012600,경상남도 사천시 송포동,raw_1_to_5,03001,0.5829478625051966,0.5829478625051966,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4377031000,충청북도 음성군 소이면,raw_1_to_5,03001,0.329,0.329,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5178025900,강원특별자치도 철원군 동송읍,raw_1_to_5,03001,0.545,0.545,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5274000000,전북특별자치도 장수군,raw_1_to_5,03001,0.17,0.17,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4729033000,경상북도 경산시 자인면,raw_1_to_5,03001,0.6350403912576373,0.6350403912576373,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1215035000,전남광주통합특별시 순천시 주암면,raw_1_to_5,03001,1.6645040523877968,1.6645040523877968,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5213036000,전북특별자치도 군산시 개정면,raw_1_to_5,03001,6.4,6.4,0.0,True,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4793040000,경상북도 울진군 매화면,raw_1_to_5,03001,0.23,0.23,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4784000000,경상북도 성주군,raw_1_to_5,03001,1.49,1.49,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
1281034000,전남광주통합특별시 무안군 현경면,raw_1_to_5,03001,1.738529602816566,1.738529602816566,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
3171026200,울산광역시 울주군 청량읍,raw_1_to_5,03001,0.5377124184890062,0.5377124184890062,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4827034000,경상남도 밀양시 산내면,raw_1_to_5,03001,0.8,0.8,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4776000000,경상북도 영양군,raw_1_to_5,03001,1.17,1.17,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5011025900,제주특별자치도 제주시 조천읍,raw_1_to_5,03001,0.36,0.36,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4111000000,경기도 수원시,raw_1_to_5,03001,1.6381655576596923,1.6381655576596923,100.0,False,False,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
5119010100,강원특별자치도 태백시 황지동,raw_1_to_5,03001,0.33,0.33,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4161010600,경기도 광주시 목현동,raw_1_to_5,03001,0.6,0.6,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
4825011500,경상남도 김해시 전하동,raw_1_to_5,03001,1.226,1.226,100.0,False,True,흙토람 elcd가 1:5 원값인지 지도자료용 ×5 값인지 미확정
