region_code,region_name,indicator,actual_value,log_score_multiplier_2,national_grade_score,deviation_log_minus_grade,absolute_deviation
4721036000,경상북도 영주시 봉현면,ph,6.038,100.0,100,0.0,0.0
1276031000,전남광주통합특별시 화순군 한천면,ph,,,,,
5218038000,전북특별자치도 정읍시 정우면,ph,6.146,100.0,100,0.0,0.0
4885033000,경상남도 하동군 적량면,ph,5.797,91.0592201491308,90,1.0592201491307947,1.0592201491307947
1280031000,전남광주통합특별시 영암군 덕진면,ph,,,,,
4139011900,경기도 시흥시 하중동,ph,6.241,100.0,100,0.0,0.0
5272025000,전북특별자치도 진안군 진안읍,ph,5.649,87.3645783477131,75,12.364578347713106,12.364578347713106
2772031000,대구광역시 군위군 소보면,ph,,,,,
4885031000,경상남도 하동군 화개면,ph,5.258,67.6349513855187,75,-7.365048614481296,7.365048614481296
4889046000,경상남도 합천군 용주면,ph,5.958,94.26426351054717,90,4.264263510547167,4.264263510547167
1277025000,전남광주통합특별시 장흥군 장흥읍,ph,,,,,
4413000000,충청남도 천안시,ph,6.017,100.0,100,0.0,0.0
4725041000,경상북도 상주시 화서면,ph,5.857,92.33393310675419,90,2.3339331067541877,2.3339331067541877
4773033000,경상북도 의성군 옥산면,ph,6.106,100.0,100,0.0,0.0
1279037000,전남광주통합특별시 해남군 옥천면,ph,,,,,
4128100000,경기도 고양시 덕양구,ph,6.222,100.0,100,0.0,0.0
4420025000,충청남도 아산시 염치읍,ec,0.45,100.0,100,0.0,0.0
5119000000,강원특별자치도 태백시,ec,0.35,100.0,100,0.0,0.0
4150010300,경기도 이천시 중리동,ec,,,,,
4822034000,경상남도 통영시 광도면,ec,1.57,94.23064547054784,90,4.230645470547842,4.230645470547842
4374525000,충청북도 증평군 증평읍,ec,0.895,100.0,100,0.0,0.0
4163031000,경기도 양주시 은현면,ec,0.56,100.0,100,0.0,0.0
4374040000,충청북도 영동군 심천면,ec,0.4,100.0,100,0.0,0.0
4725033000,경상북도 상주시 낙동면,ec,0.97,100.0,100,0.0,0.0
1217043000,전남광주통합특별시 나주시 봉황면,ec,,,,,
4423032000,충청남도 논산시 광석면,ec,0.9,100.0,100,0.0,0.0
5176036000,강원특별자치도 평창군 진부면,ec,0.375,100.0,100,0.0,0.0
5117011200,강원특별자치도 동해시 북평동,ec,0.62,100.0,100,0.0,0.0
5121011000,강원특별자치도 속초시 대포동,ec,0.21,100.0,100,0.0,0.0
5175025000,강원특별자치도 영월군 영월읍,ec,0.58,100.0,100,0.0,0.0
5219025000,전북특별자치도 남원시 운봉읍,ec,,,,,
1278031000,전남광주통합특별시 강진군 군동면,ec,,,,,
4713000000,경상북도 경주시,ec,0.54,100.0,100,0.0,0.0
4782000000,경상북도 청도군,ec,0.58,100.0,100,0.0,0.0
4775032000,경상북도 청송군 부남면,ec,0.365,100.0,100,0.0,0.0
5011000000,제주특별자치도 제주시,ec,0.36,100.0,100,0.0,0.0
4155031000,경기도 안성시 보개면,ec,,,,,
5176000000,강원특별자치도 평창군,ec,0.375,100.0,100,0.0,0.0
4150000000,경기도 이천시,ec,,,,,
4831034000,경상남도 거제시 거제면,ec,0.39,100.0,100,0.0,0.0
4375025000,충청북도 진천군 진천읍,ec,1.022,100.0,100,0.0,0.0
4183025000,경기도 양평군 양평읍,ec,0.31,100.0,100,0.0,0.0
4373025000,충청북도 옥천군 옥천읍,ec,0.34,100.0,100,0.0,0.0
4728010300,경상북도 문경시 흥덕동,ec,0.46,100.0,100,0.0,0.0
1273025000,전남광주통합특별시 구례군 구례읍,ec,,,,,
5280034000,전북특별자치도 부안군 계화면,ec,0.365,100.0,100,0.0,0.0
5172000000,강원특별자치도 홍천군,ec,0.37,100.0,100,0.0,0.0
5123034000,강원특별자치도 삼척시 미로면,ec,1.34,100.0,100,0.0,0.0
5183025000,강원특별자치도 양양군 양양읍,ec,0.165,100.0,100,0.0,0.0
5113037000,강원특별자치도 원주시 흥업면,ec,1.6,94.09074051649509,90,4.090740516495089,4.090740516495089
5219042000,전북특별자치도 남원시 이백면,ec,,,,,
1274031000,전남광주통합특별시 고흥군 풍양면,ec,,,,,
4711000000,경상북도 포항시,ec,,,,,
4782033000,경상북도 청도군 각북면,ec,0.58,100.0,100,0.0,0.0
4792032000,경상북도 봉화군 봉성면,ec,0.2,100.0,100,0.0,0.0
5011013400,제주특별자치도 제주시 오등동,ec,0.36,100.0,100,0.0,0.0
4180025000,경기도 연천군 연천읍,ec,0.29,100.0,100,0.0,0.0
5181025000,강원특별자치도 인제군 인제읍,ec,0.5,100.0,100,0.0,0.0
4165039000,경기도 포천시 영북면,ec,0.75,100.0,100,0.0,0.0
4817012200,경상남도 진주시 초전동,ec,0.61,100.0,100,0.0,0.0
4311000000,충청북도 청주시,ec,,,,,
4182025000,경기도 가평군 가평읍,ec,0.495,100.0,100,0.0,0.0
4425031000,충청남도 계룡시 두마면,ec,0.34,100.0,100,0.0,0.0
4723025000,경상북도 영천시 금호읍,ec,0.8,100.0,100,0.0,0.0
1217039000,전남광주통합특별시 나주시 금천면,ec,,,,,
